arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,day_of_week
299987678,2025-01-24,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,7,2,18-24,F,WHITE HISPANIC,0,0,0.0,0.0,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,Friday
301522629,2025-02-22,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,M,18,0,<18,M,BLACK,0,0,0.0,0.0,"{'type': 'Point', 'coordinates': [0, 0]}",,,,,,Saturday
302423350,2025-03-11,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,48,0,25-44,M,BLACK,1011780,246837,40.844152,-73.9005,"{'type': 'Point', 'coordinates': [-73.9005, 40.844152]}",35,5,22,31,10935,Tuesday
299375374,2025-01-13,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,K,75,0,25-44,M,BLACK,1017018,185082,40.674634,-73.881867,"{'type': 'Point', 'coordinates': [-73.881867, 40.674634]}",45,2,37,47,17215,Monday
299472839,2025-01-15,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,65+,F,WHITE HISPANIC,1020966,255829,40.868801,-73.86725,"{'type': 'Point', 'coordinates': [-73.86725, 40.868801]}",59,5,22,32,11605,Wednesday
298898694,2025-01-04,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601504,F,M,26,0,<18,M,WHITE HISPANIC,996342,236149,40.814853,-73.956314,"{'type': 'Point', 'coordinates': [-73.956314, 40.814853]}",37,4,23,17,12424,Saturday
299957334,2025-01-24,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,Q,105,0,25-44,M,ASIAN / PACIFIC ISLANDER,1057669,189680,40.687011,-73.735267,"{'type': 'Point', 'coordinates': [-73.735267, 40.687011]}",63,3,6,63,15311,Friday
299244017,2025-01-11,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,103,0,25-44,F,BLACK,1040322,195422,40.702896,-73.797771,"{'type': 'Point', 'coordinates': [-73.797771, 40.702896]}",41,3,6,61,24672,Saturday
299371102,2025-01-13,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,24,0,45-64,M,BLACK HISPANIC,994723,230356,40.798952,-73.962174,"{'type': 'Point', 'coordinates': [-73.962174, 40.798952]}",20,4,23,15,12422,Monday
299778411,2025-01-21,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,28,0,25-44,F,WHITE HISPANIC,997897,233753,40.808273,-73.950703,"{'type': 'Point', 'coordinates': [-73.950703, 40.808273]}",18,4,36,18,12424,Tuesday
301462627,2025-02-21,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,B,50,0,45-64,M,WHITE,1010983,261033,40.88312,-73.903322,"{'type': 'Point', 'coordinates': [-73.903322, 40.88312]}",48,5,40,33,11272,Friday
