event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,street_closure_type,community_board,police_precinct,event_street_side,event_date
368421,Big Apple Circus,2017-11-18 19:00:00,2017-11-18 20:00:00,Parks Department,Special Event,Manhattan,"Damrosch Park: Damrosch Park ,Damrosch Park: Tent Area ,Damrosch Park: Tent Area ,Damrosch Park: Bandshell ",N/A,"7, ","20, ",,2017-11-18
330050,Mt. Eden Farmer's Market,2017-11-16 08:00:00,2017-11-16 16:00:00,Parks Department,Special Event,Bronx,Mount Eden Malls: Mount Eden Malls ,N/A,"4, ","44, ",,2017-11-16
314111,Columbia  Greenmarket Thursday,2017-11-21 08:00:00,2017-11-21 17:00:00,Street Activity Permit Office,Farmers Market,Manhattan, BROADWAY between WEST  114 STREET and WEST  116 STREET,Sidewalk and Curb Lane Closure ,"9, ","26, ",East,2017-11-21
369850,Lawn Maintenance,2017-11-23 00:00:00,2017-11-23 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Center Lawn ,N/A,"5, ","13, ",,2017-11-23
335783,"October, November December model aircraft flying",2017-11-22 09:00:00,2017-11-22 20:00:00,Parks Department,Special Event,Staten Island,LaTourette Park & Golf Course: Model Airplane Field ,N/A,"2, ","122, ",,2017-11-22
369858,Lawn Maintenance,2017-12-06 00:00:00,2017-12-06 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Dogwood / 25th St Lawn North ,N/A,"5, ","13, ",,2017-12-06
363387,Crab Apple Grove LAWN CLOSURE,2017-11-18 00:00:00,2017-11-18 23:59:00,Parks Department,Construction,Manhattan,Riverside Park: Crab Apple Grove-RSP ,N/A,"7, ","24, ",,2017-11-18
375193,Build a Wigwam,2017-11-17 09:00:00,2017-11-17 14:00:00,Parks Department,Special Event,Brooklyn,Dimattina Playground: Dimattina Ballfield ,N/A,"6, ","76, ",,2017-11-17
369134,Tinkergarten class,2017-11-12 10:00:00,2017-11-12 11:15:00,Parks Department,Special Event,Staten Island,Willowbrook Park: Carousel Lawn ,N/A,"2, ","122, ",,2017-11-12
375525,East Meadow Winter CLosure,2017-11-30 00:00:00,2017-11-30 23:59:00,Parks Department,Construction,Manhattan,Central Park: East Meadow ,N/A,"64, ","22, ",,2017-11-30
379294,2017 World Day of Remembrance,2017-11-19 12:00:00,2017-11-19 14:00:00,Parks Department,Special Event,Manhattan,City Hall Park: Broadway Sidewalk ,N/A,"1, ","1, ",,2017-11-19
330050,Mt. Eden Farmer's Market,2017-11-23 08:00:00,2017-11-23 16:00:00,Parks Department,Special Event,Bronx,Mount Eden Malls: Mount Eden Malls ,N/A,"4, ","44, ",,2017-11-23
358358,Rain Date - PS 60 Turkey Trot 2017,2017-11-10 09:00:00,2017-11-10 12:00:00,Parks Department,Special Event,Queens,Forest Park: Forest Park Drive (Race) ,N/A,"82, ","102, ",,2017-11-10
325179,Sunset Park BID Sidewalk Sales,2017-11-26 11:00:00,2017-11-26 18:00:00,Street Activity Permit Office,Sidewalk Sale,Brooklyn, 5 AVENUE between 38 STREET and 64 STREET,Partial Sidewalk Closure ,"7, ","72, ",Both,2017-11-26
365144,Flying Radio Controled Model Planes at field,2017-11-14 08:00:00,2017-11-14 19:00:00,Parks Department,Special Event,Brooklyn,Marine Park: Hobby Field ,N/A,"18, ","63, ",,2017-11-14
348958,Van Cortlandt - Cross Country Wed,2017-11-29 13:00:00,2017-11-29 18:00:00,Parks Department,Special Event,Bronx,Van Cortlandt Park: Cross Country Parade Ground Broadway 1 ,N/A,"26, ","50, ",,2017-11-29
376700,OCTOBER SYNTHETIC TURF CARE,2017-11-10 06:00:00,2017-11-10 15:00:00,Parks Department,Construction,Queens,"Grover Cleveland Playground: Soccer-01 ,Grover Cleveland Playground: Soccer-02 ,Murray Playground: Soccer-01 ,Murray Playground: Soccer-02 ,Big Bush Park: Soccer-01 ,Hinton Park: Baseball-01 ,Hinton Park: Softball-02 ,Rockaway Beach Boardwalk: Football-01 ,Flushing Meadows Corona Park: Soccer-04 ,Flushing Meadows Corona Park: Soccer-05 ,Flushing Meadows Corona Park: Soccer-06 ,Kissena Corridor West: Rachel Carson Plgd-Multi Purpose Play Area-01 ,Flushing Meadows Corona Park: Soccer-01 ,Flushing ",N/A,"01, 02, 03, 05, 07, 10, 12, 13, 14, 2, 81, 82, ","101, 102, 103, 104, 105, 106, 108, 109, 110, 114, 115, ",,2017-11-10
380988,Albanian Independence Flag Raising,2017-11-26 14:00:00,2017-11-26 15:00:00,Parks Department,Special Event,Staten Island,Franklin D Roosevelt Boardwalk and Beach: Parking Lot 8 Lincoln Avenue - BBQ Area ,N/A,"95, ","122, ",,2017-11-26
376356,Billy Johnson Playground Lawn reconstruction,2017-11-20 00:00:00,2017-11-20 23:00:00,Parks Department,Construction,Manhattan,Central Park: Johnson Playground Lawns ,N/A,"64, ","22, ",,2017-11-20
314119,Forest Hills Greenmarket Sunday,2017-11-12 08:00:00,2017-11-12 17:00:00,Street Activity Permit Office,Farmers Market,Queens, QUEENS BOULEVARD between 70 AVENUE and 69 ROAD,Sidewalk and Curb Lane Closure ,"6, ","112, ",South,2017-11-12
330659,West Dalehead Arch Landscape Restoration,2017-11-16 00:00:00,2017-11-16 23:59:00,Parks Department,Construction,Manhattan,Central Park: West Dalehead Arch ,N/A,"64, ","22, ",,2017-11-16
317527,Miscellaneous,2017-12-08 08:00:00,2017-12-08 20:00:00,Parks Department,Special Event,Manhattan,"Union Square Park: Gandhi Statue ,Union Square Park: South Plaza ,Union Square Park: North Plaza ",N/A,"5, ","13, ",,2017-12-08
338048,Radio Control Airplanes,2017-11-21 08:00:00,2017-11-21 14:00:00,Parks Department,Special Event,Bronx,Ferry Point Park: Ferry Point Park ,N/A,"10, ","45, ",,2017-11-21
369846,Lawn Maintenance,2017-12-05 00:00:00,2017-12-05 23:58:00,Parks Department,Construction,Manhattan,Madison Square Park: Farragut Lawn ,N/A,"5, ","13, ",,2017-12-05
379630,Miscellaneous,2017-11-22 09:00:00,2017-11-22 10:00:00,Parks Department,Special Event,Manhattan,J. Hood Wright Park: Recreation Center Sitting Area ,N/A,"12, ","33, ",,2017-11-22
318106,Old Cathedral Outdoor Market,2017-12-01 10:00:00,2017-12-01 19:00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan, PRINCE STREET between MOTT STREET and MULBERRY STREET,Sidewalk and Street Closure ,"2, ","5, ",North,2017-12-01
338048,Radio Control Airplanes,2017-11-08 08:00:00,2017-11-08 14:00:00,Parks Department,Special Event,Bronx,Ferry Point Park: Ferry Point Park ,N/A,"10, ","45, ",,2017-11-08
349643,Jackson Heights Relocated Greenmarket,2017-12-03 08:00:00,2017-12-03 17:00:00,Street Activity Permit Office,Farmers Market,Queens, 79 STREET between NORTHERN BOULEVARD and 34 AVENUE,Sidewalk and Curb Lane Closure ,"3, ","115, ",East,2017-12-03
381179,"Pilgrim Hill Winter Closure until April 7, 2018",2017-12-06 00:00:00,2017-12-06 23:59:00,Parks Department,Construction,Manhattan,Central Park: Pilgrim Hill ,N/A,"64, ","22, ",,2017-12-06
380390,New York Sorta Marathon,2017-11-12 09:00:00,2017-11-12 12:00:00,Police Department,Parade,Brooklyn," UNION AVENUE between DRIGGS AVENUE and NORTH   12 STREET,  UNION AVENUE between NORTH   12 STREET and DRIGGS AVENUE,  UNION AVENUE between DRIGGS AVENUE and NORTH   12 STREET",Full Street Closure ,"1, ","94, ",Full,2017-11-12
